owner,repo,stars,size_kb,created_at,updated_at,contributors,avg_resolution_time,avg_response_time,issues_analyzed
dapr,dapr,24456,125627,2019-06-19 00:49:06+00:00,2025-03-05 02:42:04+00:00,280,2392.7124792703153,1570.5338888888891,100
conductor-oss,conductor,20376,34961,2023-12-08 06:06:09+00:00,2025-03-04 20:47:37+00:00,271,3030.6222222222223,2284.418055555555,100
apache,skywalking,24142,172692,2015-11-07 03:30:36+00:00,2025-03-05 00:13:05+00:00,388,1399.6542721518986,524.8176475694445,100
jhipster,generator-jhipster,21768,171457,2013-10-21 20:07:22+00:00,2025-03-05 03:20:27+00:00,299,596.1580769230768,1479.4653685897438,100
zeromicro,go-zero,30271,21526,2020-08-07 15:37:57+00:00,2025-03-05 03:35:58+00:00,273,36.15672222222223,18.25005847953216,100
Netflix,genie,1726,215725,2013-06-20 20:35:56+00:00,2025-02-26 04:57:08+00:00,33,3805.4035802469134,1815.436244212963,100
dotnet,eShop,7329,25244,2023-10-18 23:00:45+00:00,2025-03-05 03:37:17+00:00,50,1408.8398225308642,454.14998207885293,100
dotnet,aspnetcore,36197,360856,2014-03-11 06:09:42+00:00,2025-03-05 02:37:06+00:00,340,6939.96882996633,2365.4744273504275,100
istio,istio,36547,277899,2016-11-18 23:57:21+00:00,2025-03-04 23:51:27+00:00,363,2417.569737654321,173.32537878787878,100
jaegertracing,jaeger,20979,31305,2016-04-15 18:49:02+00:00,2025-03-05 02:08:53+00:00,371,4294.6565,1203.6121111111108,100
openebs,openebs,9190,23906,2016-08-01 09:33:32+00:00,2025-03-05 03:18:26+00:00,191,5321.842365451389,3245.665876436781,100
spinnaker,spinnaker,9420,5348,2014-07-02 19:02:36+00:00,2025-03-04 07:40:56+00:00,113,2521.709186111111,1489.7801533996683,100
getsentry,sentry,40171,573613,2010-08-30 22:06:41+00:00,2025-03-05 03:21:39+00:00,337,3286.9273529411767,893.4637096774195,100
nytimes,gizmo,3768,3808,2015-12-15 18:09:36+00:00,2025-02-18 02:58:50+00:00,46,3228.1727898550726,469.37485449735453,100
sitewhere,sitewhere,1022,55960,2014-01-06 19:23:58+00:00,2025-03-02 15:45:30+00:00,15,1359.232296061885,20.05947183098591,100
magda-io,magda,527,235757,2016-08-23 07:27:25+00:00,2025-03-04 12:42:40+00:00,29,1600.7043869731801,1141.2446543209878,100
apolloconfig,apollo,29355,56556,2016-03-04 10:24:23+00:00,2025-03-04 13:25:00+00:00,162,,,100
